Wall time,Step,Value
1607104576.119807,5630,0.0
1607104584.370042,5658,0.0
1607104584.950404,5660,0.0
1607104586.130249,5664,0.0
1607104590.494836,5679,0.0
1607104602.45357,5720,0.0
1607104603.3276,5723,0.0
1607104618.836415,5776,0.0
1607104619.726494,5779,0.0
1607104622.643485,5789,0.0
1607104627.931468,5807,0.0
1607104628.22456,5808,0.0
1607104633.175409,5825,0.0
1607104634.057047,5828,0.0
1607104643.990942,5862,0.0
1607104644.560489,5864,0.0
1607104646.60509,5871,0.0
1607104654.499912,5898,0.0
1607104657.140586,5907,0.0
1607104663.243888,5928,0.0
1607104670.265468,5952,0.0
1607104671.708155,5957,0.0
1607104673.443537,5963,0.0
1607104681.308242,5990,0.0
1607104687.471848,6010,0.0
1607104688.932791,6015,0.0
1607104693.279905,6030,0.0
1607104694.749422,6035,0.0
1607104707.284544,6078,0.0
1607104708.467387,6082,0.0
1607104714.61221,6103,0.0
1607104715.220122,6105,0.0
1607104719.881831,6121,0.0
1607104720.457394,6123,0.0
1607104722.220226,6129,0.0
1607104722.800341,6131,0.0
1607104728.060697,6149,0.0
1607104734.78099,6172,0.0
1607104737.372473,6181,0.0
1607104742.928135,6200,0.0
1607104746.18065,6211,0.0
1607104746.768984,6213,0.0
1607104748.51463,6219,0.0
1607104752.292306,6232,0.0
1607104757.526012,6250,0.0
1607104768.903305,6289,0.0
1607104775.681898,6312,0.0
1607104776.855785,6316,0.0
1607104777.14374,6317,0.0
1607104779.193398,6324,0.0
1607104784.156312,6341,0.0
1607104787.346803,6352,0.0
1607104790.551846,6363,0.0
1607104792.580874,6370,0.0
1607104794.315531,6376,0.0
1607104801.369491,6400,0.0
1607104818.63684,6459,0.0
1607104829.155543,6495,0.0
1607104829.448666,6496,0.0
1607104830.633798,6500,0.0
1607104836.491144,6520,0.0
1607104836.782408,6521,0.0
1607104837.071703,6522,0.0
1607104839.406735,6530,0.0
1607104852.231084,6574,0.0
1607104854.271579,6581,0.0
1607104855.152835,6584,0.0
1607104860.662848,6603,0.0
1607104876.419023,6657,0.0
1607104879.052798,6666,0.0
1607104879.635123,6668,0.0
1607104880.80456,6672,0.0
1607104882.535426,6678,0.0
1607104883.40643,6681,0.0
1607104885.458409,6688,0.0
1607104887.805796,6696,0.0
1607104888.681571,6699,0.0
1607104892.194675,6711,0.0
1607104900.11029,6738,0.0
1607104901.273516,6742,0.0
1607104904.477876,6753,0.0
1607104907.706085,6764,0.0
1607104927.477755,6832,0.0
1607104931.547156,6846,0.0
1607104933.885346,6854,0.0
1607104937.968781,6868,0.0
1607104938.25641,6869,0.0
1607104945.821592,6895,0.0
1607104949.911737,6909,0.0
1607104957.194752,6934,0.0
